,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
0,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,14600,16900,0,0.0,17700.0,False,43.102976,5.878219
2,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16816,14800,Pro,0825809109,16100.0,False,43.5603151,7.0337141
3,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,13055,14800,Pro,0825809109,16100.0,False,43.300771,5.3821768
4,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,22466,13700,Pro,0825809109,16100.0,False,43.5338335,5.509246999999999
5,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19000,14800,Pro,0825809109,16100.0,False,43.1146883,5.9488975
7,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16046,14800,Pro,0825809109,16100.0,False,43.107465,6.131492799999999
8,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,14735,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
10,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15998,14800,Pro,0825809109,16100.0,False,43.107465,6.131492799999999
11,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,21959,14500,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
12,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,9545,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
13,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,25313,13400,Pro,0686038342,16100.0,False,43.5338335,5.509246999999999
14,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,17858,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
15,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,6002,14800,Pro,0825809109,16100.0,False,43.5338335,5.509246999999999
16,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,10241,14800,Pro,0825809109,16100.0,False,43.4212739,5.218332
17,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,11888,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
18,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,13785,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
19,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,15948,14800,Pro,0675010042,16100.0,False,43.5338335,5.509246999999999
20,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,10773,14800,Pro,0825809109,16100.0,False,43.6960355,7.265589599999998
